City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
278,bijie,27.3125,105.2942,273.7,96,100,1.72,CN,1707322908
279,palangkaraya,-2.2,113.8333,296.99,97,100,0.58,ID,1707322909
280,lamitan city,6.6608,122.1408,298.95,82,53,1.38,PH,1707322910
281,darwin,-12.4611,130.8418,299.14,85,94,1.54,AU,1707322876
282,ta`u,-14.2336,-169.5144,301.76,83,100,11.2,AS,1707322911
283,isangel,-19.55,169.2667,298.94,85,100,5.52,VU,1707322912
284,yarega,63.4354,53.5765,261.97,95,100,4.1,RU,1707322913
285,kedougou,12.5579,-12.1743,312.47,19,2,2.06,SN,1707322914
286,nurota,40.5614,65.6886,280.01,61,100,6.3,UZ,1707322915
287,san-pedro,4.7485,-6.6363,304.04,62,10,4.49,CI,1707322916
288,turbo,8.0937,-76.7269,299.22,83,62,3.68,CO,1707322917
289,waat,51.1454,6.4958,278.65,92,40,2.06,DE,1707322917
290,plouzane,48.3833,-4.6167,285.33,100,100,6.17,FR,1707322918
291,blatna,49.4249,13.8818,282.18,91,100,8.21,CZ,1707322919
292,east london,-33.0153,27.9116,295.67,56,0,7.72,ZA,1707322920
293,guerrero negro,27.9769,-114.0611,288.93,59,2,5.64,MX,1707322921
294,gadzhiyevo,69.2551,33.3362,248.67,100,93,2.83,RU,1707322922
295,karapinar,37.716,33.5506,282.73,65,18,6.74,TR,1707322923
296,kochubey,44.3861,46.5825,279.75,81,58,4.11,RU,1707322924
297,atafu village,-8.5421,-172.5159,302.25,77,100,10.42,TK,1707322925
298,katsuren-haebaru,26.3369,127.8719,289.36,94,100,7.72,JP,1707322926
299,greymouth,-42.4667,171.2,288.66,96,100,1.37,NZ,1707322927
300,reggane,26.7158,0.1714,297.44,11,34,4.06,DZ,1707322929
301,dzhangala,49.2167,50.3333,267.86,90,27,4.48,KZ,1707322930
302,fortuna,40.5982,-124.1573,279.63,93,100,3.58,US,1707322931
303,quinhamel,11.8833,-15.85,308.29,37,2,4.79,GW,1707322933
304,helena valley west central,46.6629,-112.0604,274.34,97,100,4.12,US,1707322934
305,puerto deseado,-47.7503,-65.8938,288.46,43,70,17.67,AR,1707322935
306,st. john's,47.5649,-52.7093,273.23,87,75,9.77,CA,1707322682
307,am timan,11.0297,20.2827,306.1,12,50,2.03,TD,1707322936
308,al bawiti,28.3492,28.8659,290.62,35,0,3.74,EG,1707322937
309,samamiya,11.3487,9.6399,304.08,13,99,5.03,NG,1707322938
310,al hufuf,25.3646,49.5653,290.34,23,0,2.06,SA,1707322939
311,tabua,40.3327,-8.0141,290.02,69,91,1.34,PT,1707322940
312,kupang,-10.1667,123.5833,298.47,100,40,3.6,ID,1707322941
313,labrador city,52.9463,-66.9114,269.36,57,100,0.0,CA,1707322943
314,poronaysk,49.2167,143.1167,250.83,97,23,1.7,RU,1707322943
315,rongelap,11.1635,166.8941,299.45,80,96,9.21,MH,1707322944
316,ponta delgada,37.7333,-25.6667,291.55,94,75,9.26,PT,1707322945
317,nova olinda do norte,-3.8881,-59.0942,308.99,40,96,2.61,BR,1707322946
318,flying fish cove,-10.4217,105.6791,298.97,88,75,2.06,CX,1707322947
319,sao gabriel da cachoeira,-0.1303,-67.0892,301.04,83,75,1.54,BR,1707322948
320,jackson,42.4165,-122.8345,277.51,92,100,0.0,US,1707322949
321,oeiras,-7.0253,-42.1311,309.66,34,99,1.73,BR,1707322950
322,kamloops,50.6665,-120.3192,275.69,79,100,4.12,CA,1707322950
323,charters towers,-20.1,146.2667,297.9,82,60,4.87,AU,1707322951
324,raja,8.4596,25.678,302.04,17,81,2.09,SS,1707322952
325,horta,38.5333,-28.6333,288.95,95,75,8.75,PT,1707322954
326,miles city,46.4083,-105.8406,273.69,93,100,4.63,US,1707322955
327,polyarnyy,69.1989,33.4478,249.92,100,84,3.03,RU,1707322956
328,tomatlan,19.9333,-105.25,298.75,62,100,1.17,MX,1707322957
329,mandalgovi,45.7625,106.2708,252.47,90,31,2.37,MN,1707322958
330,diamantino,-14.4086,-56.4461,308.12,41,98,1.88,BR,1707322959
331,oranjemund,-28.55,16.4333,294.74,66,0,6.55,NA,1707322959
332,touros,-5.1989,-35.4608,304.23,61,31,6.04,BR,1707322960
333,bridgewater,44.3835,-64.5155,271.54,81,100,2.57,CA,1707322961
334,bezhetsk,57.7851,36.6965,259.01,95,100,7.19,RU,1707322962
335,sardarapat,40.1321,44.0097,282.68,70,53,1.75,AM,1707322963
336,gizo,-8.103,156.8419,301.35,81,100,6.16,SB,1707322963
337,weno,7.4515,151.8468,300.12,78,75,3.09,FM,1707322964
338,suntar,62.1444,117.6319,235.91,100,90,0.84,RU,1707322966
339,kiamba,5.9894,124.6242,298.8,88,100,0.52,PH,1707322967
340,griffith,41.5284,-87.4237,277.62,86,0,3.09,US,1707322968
341,cabo san lucas,22.8909,-109.9124,296.27,72,40,7.72,MX,1707322969
342,sakassou,7.4546,-5.2926,309.06,10,1,3.04,CI,1707322971
343,khash,28.2211,61.2158,284.66,15,0,0.62,IR,1707322972
344,sungailiat,-1.85,106.1333,299.83,86,51,2.88,ID,1707322973
345,turkestan,43.3333,68.25,275.44,83,100,3.98,KZ,1707322973
346,thinadhoo,0.5333,72.9333,301.53,75,58,4.29,MV,1707322974
347,guanica,17.9716,-66.908,299.0,65,96,4.2,PR,1707322975
348,nuuk,64.1835,-51.7216,270.49,86,100,28.81,GL,1707322975
349,terrace,54.5163,-128.6035,271.1,86,100,1.54,CA,1707322976
350,la gi,10.6667,107.7833,297.22,91,98,3.56,VN,1707322977
351,charlestown,-32.95,151.6667,294.74,80,100,3.58,AU,1707322977
352,wewak,-3.5534,143.6268,298.74,91,100,5.41,PG,1707322978
353,hobyo,5.3505,48.5268,299.82,80,27,7.26,SO,1707322979
354,sirjan,29.452,55.6814,281.16,16,0,4.88,IR,1707322980
355,warmbad,-28.45,18.7333,305.17,13,12,7.62,NA,1707322980
356,kaifeng,34.7911,114.3483,271.31,86,99,2.34,CN,1707322981
357,westport,41.1415,-73.3579,279.52,52,0,3.6,US,1707322982
358,katsuura,35.1333,140.3,280.14,59,45,1.97,JP,1707322982
359,nampula,-15.1165,39.2666,297.12,94,75,3.09,MZ,1707322983
360,villa gesell,-37.2639,-56.973,301.51,63,100,2.82,AR,1707322983
361,puerto armuelles,8.2833,-82.8667,306.14,64,5,3.13,PA,1707322896
362,okhotsk,59.3833,143.3,249.46,84,100,3.21,RU,1707322985
363,emerald,-23.5333,148.1667,298.34,74,65,5.6,AU,1707322985
364,san pedro pochutla,15.7333,-96.4667,301.99,53,19,1.35,MX,1707322985
